title,gross,genre,Movie Genre
The Hangover,"$5,040,431,707",Bawdy Comedy,Comedy
Monsters University,"$2,106,701,584",University,Action
Jaws,"$1,129,929,390",Terror in the Water,Action
Captain America: The Winter Soldier,"$3,859,083,789",Politics,Action
Captain America: The Winter Soldier,"$4,530,526,790",Chase,Action
I Am Legend,"$4,693,166,157",Near Future,Action
Men in Black,"$5,543,642,286",Buddy Comedy,Comedy
Moana,"$1,163,629,231",Hawaii,Action
Ghostbusters,"$2,416,050,392",Horror Comedy,Comedy
Bruce Almighty,"$1,677,495,958",News Industry,Action
Bruce Almighty,"$866,121,608",God,Action
Bruce Almighty,"$4,392,375,378",Media Industry,Action
Bruce Almighty,"$866,121,608",Deity,Action
My Big Fat Greek Wedding,"$14,191,667,816",Romantic Comedy,Comedy
My Big Fat Greek Wedding,"$2,505,485,329",Wedding,Action
Beverly Hills Cop,"$881,400,628",Los Angeles,Action
Beverly Hills Cop,"$881,400,628",California,Action
X-Men: Days of Future Past,"$2,809,974,067",1900s,Action
X-Men: Days of Future Past,"$2,809,974,067",1970s,Action
The Bourne Ultimatum,"$2,903,062,030",Murderer,Action
The Bourne Ultimatum,"$2,887,719,284",Assassin,Action
The Bourne Ultimatum,"$1,665,258,408",Amnesia,Action
Mrs. Doubtfire,"$2,569,639,935",Fat Character,Action
Mrs. Doubtfire,"$1,128,720,970",Cross-dressing,Action
Ted,"$1,297,289,829",Massachusetts,Action
Ted,"$1,297,289,829",Boston,Action
Ted,"$2,275,156,126",Slacker,Action
Ted,"$1,895,531,208",Arrested Development,Action
Ted,"$1,297,289,829",City,Action
The Da Vinci Code,"$2,194,188,027",Paris,Action
The Da Vinci Code,"$2,194,188,027",France,Action
The Da Vinci Code,"$2,650,480,917",Europe,Action
The Da Vinci Code,"$1,205,254,718",Novel Adaptation,Action
The Da Vinci Code,"$1,205,254,718",Contemporary Novel Adaptation,Action
Saving Private Ryan,"$2,412,202,678",World War II,War
Bohemian Rhapsody,"$2,111,072,937",Homosexual Theme,Action
Bohemian Rhapsody,"$5,184,207,409",Music,Action
Bohemian Rhapsody,"$2,111,072,937",LGBTQ Theme,Action
Madagascar 3: Europe's Most Wanted,"$1,243,287,093",Penguin,Action
Austin Powers in Goldmember,"$2,693,365,585",Spoof,Action
Coco,"$1,206,826,301",Mexico,Action
Wedding Crashers,"$1,537,535,413",Promiscuous Character,Action
Wedding Crashers,"$1,537,535,413",Womanizer,Action
Ratatouille,"$573,185,116",Cooking,Action
World War Z,"$1,382,038,671",Zombie,Action
The Mummy Returns,"$1,353,308,959",Desert,Action
Gone with the Wind,"$1,009,680,976",Epic,Action
Happy Feet,"$1,140,666,293",Cold/Icy Setting,Action
The Polar Express,"$614,442,609",Motion Capture,Action
Interstellar,"$589,032,516",Outer Space,Action
Interstellar,"$589,032,516",Exploration,Action
The Day After Tomorrow,"$484,671,445",Global Warming,War
The Day After Tomorrow,"$484,671,445",Environmental Theme,Action
Taylor Swift: The Eras Tour,"$851,541,759",Musical Performance,Musical
Taylor Swift: The Eras Tour,"$824,374,989",Concert,Action
Taylor Swift: The Eras Tour,"$546,830,095",Contemporary Musical Concert,Musical
Taylor Swift: The Eras Tour,"$860,602,212",Staged Performance,Action
The Karate Kid,"$1,841,394,246",Teacher,Action
The Karate Kid,"$1,841,394,246",Educator,Action
Air Force One,"$1,712,811,563",Hostage,Action
Air Force One,"$2,085,806,434",Terrorism,Action
Wild Hogs,"$2,418,108,896",Road Trip,Action
Robin Hood: Prince of Thieves,"$1,185,779,960",Medieval Times,Action
Hannibal,"$1,915,936,867",Serial Killer,Action
Catch Me If You Can,"$1,417,113,980",Con Artist,Action
Catch Me If You Can,"$1,221,897,996",Actual Events Adaptation,Action
Catch Me If You Can,"$1,314,172,567",Louisiana,Action
Catch Me If You Can,"$1,314,172,567",New Orleans,Action
Straight Outta Compton,"$685,583,080",Hip-Hop,Action
Halloween,"$2,619,720,055",Slasher,Action
Fatal Attraction,"$1,215,528,942",Stalker,Action
Who Framed Roger Rabbit,"$2,714,879,420",Entertainment Industry,Action
Who Framed Roger Rabbit,"$2,714,879,420",Movie Industry,Action
Scooby-Doo,"$2,399,598,910",Dog,Action
Sonic the Hedgehog,"$2,163,197,267",Video Game Adaptation,Action
Gran Torino,"$416,561,073",Vigilante,Action
Paul Blart: Mall Cop,"$1,596,079,706",Bumbling Character,Action
Taken,"$1,074,251,727",Kidnapping,Action
Taken,"$1,074,251,727",Crime,Action
Mamma Mia!,"$1,379,077,279",Mother,Action
Mamma Mia!,"$1,379,077,279",Female Character,Action
xXx,"$785,693,229",Extreme Sport,Action
A Few Good Men,"$591,521,808",Play Adaptation,Action
A Few Good Men,"$349,431,746",Courtroom Drama,Drama
The Blair Witch Project,"$587,246,279",Witch,Action
The Blair Witch Project,"$1,224,444,244",Found Footage,Action
The Wolverine,"$914,501,574",Asia,Action
The Wolverine,"$914,501,574",Japan,Action
The Departed,"$815,158,895",Law Enforcement,Action
The Departed,"$815,158,895",Corrupt Police Officer,Action
The Departed,"$905,826,266",Irish Culture,Action
The Departed,"$815,158,895",Corrupt Character,Action
The Departed,"$815,158,895",Police Officer,Action
"Crouching Tiger, Hidden Dragon","$2,460,152,019",Foreign Language,Action
Borat,"$281,204,040",Mockumentary,Action
Rocky IV,"$1,528,968,740",Boxing,Action
Rocky IV,"$1,528,968,740",Combat Sport,Action
Sleepless in Seattle,"$711,199,695",New Year's Eve,Action
The Truman Show,"$1,274,623,598",Satire,Action
The Hunt for Red October,"$381,543,668",Submarine,Action
The Hunt for Red October,"$381,543,668",Aquatic Vehicle,Action
The Hunt for Red October,"$757,340,032",Vehicle,Action
Seabiscuit,"$762,235,122",Horse,Action
I Now Pronounce You Chuck & Larry,"$579,290,363",Firefighter,Action
Fahrenheit 9/11,"$1,694,610,295",Documentary,Documentary
Blades of Glory,"$424,760,350",Olympics,Action
Horrible Bosses,"$1,811,284,223",Black Comedy,Comedy
Remember the Titans,"$1,177,585,654",Sports Coach,Action
Big,"$656,780,782",Switched Bodies,Action
Big,"$656,780,782",Role Swap,Action
Magic Mike,"$1,855,877,920",Dance,Action
Twins,"$597,053,275",Sibling,Action
Twins,"$597,053,275",Twin,Action
Freaky Friday,"$1,256,257,246",Girl Power,Action
Terms of Endearment,"$724,646,837",Chick Flick,Action
A League of Their Own,"$1,191,621,724",Baseball,Action
Chicken Run,"$768,533,436",Stop Motion,Action
Collateral,"$375,796,364",Taxi,Action
Collateral,"$375,796,364",Automobile,Action
Dead Poets Society,"$837,680,653",Inspirational,Action
Space Jam,"$814,291,565",Basketball,Action
The Muppets,"$499,649,692",Puppetry,Action
The Muppets,"$661,972,131",Children,Action
Saw II,"$893,021,921",Torture,Action
The Campaign,"$780,800,923",Political Campaign,Action
Pokémon: The First Movie - Mewtwo Strikes Back,"$531,516,635",Anime,Action
The Talented Mr. Ripley,"$456,292,890",Italy,Action
March of the Penguins,"$280,771,564",Nature Theme,Action
Jack and Jill,"$456,478,041",Thanksgiving,Action
Sin City,"$606,935,545",Neo-Noir,Action
The Manchurian Candidate,"$155,496,404",Brainwashing,Action
Miracle,"$390,312,249",Ice Hockey,Action
Surf's Up,"$223,145,513",Surfing,Action
Tin Cup,"$204,062,836",Golf,Action
Kicking & Screaming,"$188,487,876",Soccer,Action
Eddie Murphy: Raw,"$254,847,429",Stand-up Comedy Performance,Comedy
Eddie Murphy: Raw,"$254,847,429",Spoken Word Performance,Action
Cop Land,"$286,409,862",New Jersey,Action
About Last Night,"$273,036,581",Twentysomething Character,Action
Twilight Zone: The Movie,"$146,953,739",Anthology,Action
The Little Things,"$15,342,746",Serial Killer,Action
